Adj Close SOXX,Adj Close ADI
73.18541,45.289089
74.24279,45.968254
74.176704,46.111233
75.545631,47.567844
74.884773,47.576794
74.58268,47.907425
75.140205,47.621468
74.288284,47.138905
73.73925,46.986988
74.222023,47.21933
75.433655,47.487411
76.635834,48.327435
76.522224,48.309559
76.635834,48.238064
74.468124,47.290825
73.796059,47.46954
74.761574,48.220192
75.547256,48.524029
73.20916,46.906555
72.063805,46.54911
72.641212,46.879753
73.114502,47.523167
72.991455,46.602722
74.363998,47.22826
75.036087,47.272949
75.708168,47.630405
75.641899,47.621468
76.067871,47.987858
73.578346,45.950371
73.161827,45.566124
73.663528,45.744839
74.032722,45.834213
73.796059,45.414204
74.051643,45.941448
74.117905,45.735909
73.833908,45.342712
73.86232,45.396336
74.373474,45.852077
74.136841,45.798462
75.490463,46.674217
74.894089,45.99506
74.269348,45.628677
73.398483,45.378456
74.212563,46.111233
74.960365,46.450809
74.600662,46.450809
74.960365,45.869953
75.301125,46.236343
76.020538,46.817196
76.957672,47.380188
77.071243,47.200207
77.213257,47.029217
77.307899,47.137215
77.733864,47.128208
78.462738,47.218204
78.812981,47.236198
79.201065,47.308189
79.664917,47.41618
79.740616,49.773937
79.977272,50.205902
80.393768,50.061913
80.119255,49.89093
80.90493,50.052921
81.387703,49.944927
81.984039,50.124901
81.64328,49.611961
81.756866,49.431973
82.002991,49.216003
81.700073,49.063015
81.037506,48.478069
81.379219,48.370087
81.018524,48.190102
81.122925,48.145107
82.015228,48.658043
83.135345,49.063015
83.353668,48.964024
83.875748,49.341988
83.315697,49.188999
82.869553,49.000019
83.37265,49.260998
82.99295,48.955029
82.983444,48.856041
83.391632,48.460072
83.144821,48.352081
84.113068,48.298092
81.939278,47.641155
83.011925,48.12711
83.258759,48.109112
83.799805,48.370087
81.882339,46.147312
81.122925,46.16531
79.518692,45.139408
79.442764,45.490372
79.300369,45.463379
80.069252,45.769348
78.44606,44.662457
78.702332,45.004421
79.044083,44.716461
78.208725,44.680466
78.465034,45.040417
77.411354,44.032528
78.370087,44.581467
79.082047,44.932426
79.025078,45.157417
79.774994,45.472378
79.926888,45.661362
80.771698,46.057316
81.084953,46.201305
81.664009,46.543266
82.347458,46.948235
82.660721,47.281193
82.717667,47.245193
82.423409,46.73225
82.432884,46.984226
82.584778,45.922337
82.850563,46.156311
83.477066,46.003323
83.097374,45.553368
83.325188,45.553368
83.562492,45.69841
84.255447,45.52618
84.464287,45.39019
83.685898,45.145424
83.657425,45.000374
83.875748,45.109161
82.831566,44.528976
81.81588,44.302353
83.239754,44.601509
83.837799,44.991318
85.119293,45.589642
84.056107,45.317669
83.040413,45.254219
82.774628,45.027576
83.812164,45.326736
82.279671,45.000374
83.250557,45.353939
83.355255,45.154491
82.669914,44.86441
80.651947,43.740303
80.156967,43.332359
80.661484,43.132927
79.957069,42.743118
78.43409,41.890968
80.204582,43.287037
78.034317,42.008816
72.656242,39.388931
71.11422,39.071644
72.399231,39.397999
72.741905,39.9963
73.865112,40.431442
74.4077,40.739677
75.588005,41.084152
78.376991,42.353306
77.253777,41.718731
78.367462,42.081337
79.148003,42.471153
79.519234,42.26265
80.651947,42.598068
80.813766,42.888157
79.833344,42.607132
82.955475,44.982254
83.526604,45.072903
83.221985,44.828144
84.059647,45.353939
83.336243,45.52618
82.584259,45.544304
83.193443,45.707478
83.031624,45.453651
82.90789,45.562439
82.917412,45.517113
83.640839,45.888786
83.260078,45.644024
84.887794,46.468971
84.307129,46.006645
85.07814,46.387383
86.010986,46.822517
86.839119,46.958508
86.858154,46.876911
88.695259,49.460537
88.942734,49.533058
87.819534,49.54213
88.371613,50.049786
90.227783,51.57391
90.303917,51.674309
91.208206,52.331413
89.923164,51.272732
89.913658,51.446136
88.200287,50.779903
88.61911,51.33662
87.153236,51.035446
86.344154,50.579121
85.753975,49.995026
87.600609,51.099339
89.26638,52.075871
89.275909,51.792942
90.370552,52.468307
90.170654,51.710812
90.305962,51.756439
90.421104,51.364002
90.16201,51.181473
89.595871,50.706894
89.135269,50.670387
89.058502,50.688641
87.379234,49.766857
85.431297,48.598671
86.275726,49.109756
88.837822,49.976776
88.885757,49.940269
87.177719,49.43832
86.323708,48.872459
85.834297,48.83596
85.153015,48.124092
86.083817,49.000233
86.976227,49.639091
87.964584,49.8125
88.492348,49.967644
88.262062,49.748608
88.425179,49.885506
86.851471,48.708183
86.438858,48.306625
86.496429,48.58041
84.797981,47.558243
85.018677,47.731647
86.525208,49.255775
86.851471,49.082378
87.695908,50.150177
87.21611,50.204933
86.294914,49.794243
89.212029,50.688641
89.499908,50.761654
90.929688,51.765572
91.572594,52.066742
91.860481,53.673012
91.62056,53.280571
91.870056,53.526985
92.417015,53.96505
91.841286,53.828159
93.069527,54.403122
92.589752,54.200989
93.223076,54.099926
92.944809,53.787525
95.497269,54.926857
93.731651,53.971283
93.606895,53.65889
93.664474,53.704826
92.695305,53.227047
92.983185,53.71402
91.265533,52.556316
91.467041,52.639004
91.438255,52.841137
92.052391,52.85952
93.453369,54.026409
92.772057,53.989666
93.462975,54.825783
93.67408,55.128998
94.998299,56.112125
94.211449,55.496525
93.405396,55.45977
89.065193,52.887085
87.843269,52.75845
90.335197,54.063171
91.489761,59.548496
90.460274,57.885445
89.87339,57.490349
89.671326,57.187149
90.065811,57.683311
90.104301,58.105968
90.633453,58.501053
91.81691,58.831821
92.192131,59.02478
91.6437,58.574558
90.710434,57.490349
92.220993,58.739948
91.826523,58.905331
90.518005,58.271347
91.28772,58.546997
91.913101,59.144218
93.211998,59.254482
91.768791,58.427547
90.25824,57.453602
90.489143,57.582237
90.575729,58.087585
90.075432,57.720058
89.296089,56.81963
91.778397,58.133518
91.595612,58.115147
89.603966,56.755295
89.498146,56.635857
90.47953,57.003384
91.383934,57.628174
91.441666,57.554672
90.61422,57.040138
91.172272,57.187149
92.259491,58.252975
92.413445,58.050835
93.317833,58.216213
92.981079,58.298916
93.183151,60.807285
93.654579,60.173294
93.847023,61.652596
93.125412,61.422897
96.781525,63.123688
96.877769,63.142178
97.243362,62.818657
97.301086,63.548878
96.213882,62.58757
95.559624,62.199341
94.693695,61.875824
94.703323,62.273296
92.923355,60.960705
92.865623,60.720387
94.02021,62.596809
93.991333,62.134628
93.144646,61.247269
92.952232,61.65398
93.211998,61.589264
93.288963,62.143879
94.607094,63.132927
94.135643,62.772434
94.934242,62.874119
94.462784,62.421185
93.464378,61.78339
93.396858,61.552288
91.072052,60.822063
88.515755,59.148994
88.834084,59.33387
89.046303,59.68512
89.461098,59.509487
88.158821,58.779251
87.879089,58.585148
85.50605,57.254078
84.416008,56.283524
85.978737,56.856613
86.702225,57.189369
87.608994,57.882641
87.088081,58.159935
87.252045,58.076752
87.068779,57.734741
86.470695,57.300304
86.490013,57.383495
84.338829,54.212982
85.592888,55.507065
83.875801,54.065094
83.25843,53.510471
84.994797,54.52726
85.100906,54.342388
85.43853,54.370117
84.444946,53.917194
84.174858,54.231472
83.239136,54.055836
84.290604,56.107887
82.785759,54.41634
83.25843,55.100349
85.322777,56.468384
83.403145,54.887753
83.885468,55.220516
83.210197,54.536499
82.525314,54.388618
83.229507,54.998672
81.657135,53.519718
80.923996,53.963402
77.885368,49.748379
75.753502,49.711411
74.055733,47.761028
73.322601,46.781223
76.9786,50.517387
79.843597,52.623055
80.306633,52.595097
80.084755,52.045399
77.258354,49.893139
79.100838,50.862125
79.718185,51.402512
78.338753,50.275139
81.811478,53.824959
80.306633,52.427399
80.663551,52.18515
80.711769,52.50193
80.895058,53.629307
81.927223,54.318768
82.100861,54.458527
81.444908,53.974037
80.026878,52.800072
79.785728,52.762814
78.030067,51.411827
77.451271,51.430458
77.296928,50.312412
77.721832,50.722366
75.568275,49.818604
76.072708,50.358997
79.021713,52.557838
78.080757,51.188221
79.710457,51.887001
81.262566,53.508183
81.524498,53.005058
82.601265,53.918129
83.144516,53.778378
82.630379,52.81871
82.630379,52.716228
81.611801,52.22242
84.580215,56.825077
85.375664,57.095261
85.569672,56.079704
85.540581,56.107658
85.462975,56.275364
85.589081,57.533176
88.557495,59.070496
89.634262,59.275471
88.023949,57.328201
87.257591,57.197758
88.547783,57.635654
86.171135,55.884048
86.859871,56.014484
87.626221,56.219456
88.082161,56.517605
88.334373,56.359219
86.481544,56.238094
88.770905,57.486591
87.907539,56.797127
86.306938,55.874729
86.374832,55.809509
85.259247,55.399555
84.492897,54.160378
85.530876,54.486485
86.10321,55.250481
86.956871,56.592148
87.160568,55.688389
87.44191,55.362286
86.394226,52.9212
87.412819,56.294003
87.538918,56.135605
87.917236,56.321953
88.867905,57.421375
90.245399,57.365463
89.818573,56.962212
89.275337,55.377319
90.817741,55.527367
90.08049,54.861526
89.314148,54.411381
88.150063,53.126591
88.576881,53.595493
86.918068,53.389179
86.355438,53.286018
87.655319,53.03281
88.314964,53.951851
87.102386,52.629547
86.093529,51.73864
87.568001,52.357597
87.703827,52.535774
88.314964,52.967167
88.667847,53.267258
88.317886,52.939034
89.348335,53.745537
88.541481,53.03281
87.336037,51.879318
86.325027,51.054043
85.50843,50.678925
82.553154,48.521969
80.239502,47.284069
79.082672,46.871437
79.354866,47.987423
80.015892,48.437569
77.468918,46.983974
79.063225,47.359097
75.495514,46.721394
75.621895,46.318138
76.117683,47.434124
77.245346,47.38723
78.654938,48.184361
77.566162,47.874886
78.285515,48.099968
77.391151,48.090588
77.216187,48.540726
80.715836,50.510117
81.075531,49.863033
78.402176,48.146854
78.586876,48.184361
79.947853,48.456329
77.206451,46.721394
75.262184,46.10244
74.834465,46.243107
74.251175,45.914879
73.677628,45.802341
75.291359,46.552589
77.935547,48.831451
79.79232,49.450397
79.413185,48.80331
79.763168,48.859581
81.017204,49.337868
79.743713,48.259388
80.803345,48.987446
81.785172,50.103157
82.310143,50.528637
82.115707,50.103157
84.332153,51.719994
84.857117,52.391315
84.95433,52.448048
85.829239,52.741158
86.218094,53.412476
84.264114,52.325127
84.857117,51.937466
85.284843,52.117111
86.90831,52.892441
86.704163,52.637154
86.480553,53.053181
87.258263,53.762325
87.860977,54.7173
89.017815,55.795193
89.134468,55.643906
89.115036,55.33189
87.950813,55.152237
87.892296,55.445351
87.843536,55.142784
89.052635,55.59663
89.832664,55.889744
89.335396,55.965382
89.949677,55.766823
89.150131,55.558807
88.652847,55.294067
89.50116,55.937019
88.136078,55.180607
88.545601,55.59663
88.5261,55.407524
88.399345,55.59663
90.378716,56.542152
89.686424,56.201763
88.916122,55.46426
88.925865,55.502079
87.843536,55.057682
88.682106,55.955925
88.155563,55.606091
88.311577,55.294067
87.785049,55.246784
88.955132,56.097763
89.861931,56.390865
87.512032,54.70784
85.201118,53.251736
85.844681,53.904148
84.869606,53.166641
83.904289,52.788437
84.109062,52.656055
84.226051,52.448048
84.118805,52.221123
85.11338,53.043724
84.9086,52.712791
83.387505,51.909107
83.689781,51.738911
85.035355,52.410221
84.479568,52.353493
85.795898,52.778984
85.31813,52.665516
87.902061,53.459751
88.516335,53.667763
90.651741,55.048229
91.188019,55.495857
91.490288,55.514896
92.065582,55.657757
92.60186,55.714909
93.089386,55.857761
93.108894,55.505371
93.38192,55.343472
93.167389,54.372025
94.054703,55.038704
94.015709,55.029179
94.122955,54.81966
92.582359,54.248215
92.104561,54.162506
92.075333,54.352982
92.065582,54.162506
92.055817,54.191074
91.275764,53.324402
92.289841,54.086311
92.582306,54.343464
92.494263,54.143452
94.802711,55.343472
89.657631,52.419628
86.01889,50.048168
88.268646,51.724384
90.048882,52.972012
91.59436,53.943455
90.841194,53.933926
89.178322,52.724403
89.2957,52.81963
90.381462,53.286304
92.895325,54.991089
93.941948,55.476803
95.164635,56.181572
95.282013,56.686344
95.976501,57.162544
95.947151,57.28635
97.355713,57.553024
97.023125,57.400639
98.55883,57.800632
97.864342,57.095871
98.353416,57.524448
98.920738,57.648254
102.755119,59.876854
102.745331,60.314957
102.178001,61.162582
101.72805,60.791149
101.806297,60.934002
100.241257,59.848282
100.368408,59.876854
101.307442,60.324482
